created_at,entry_id,field1,field2,field3
2024-03-27 04:38:59 UTC,15285,-4.5,45.68,566.05
2024-03-27 04:39:00 UTC,15286,21.31,26.32,958.8
2024-03-27 04:39:02 UTC,15287,23.01,63.35,1546.34
2024-03-27 04:39:03 UTC,15288,12.27,27.0,1894.5
2024-03-27 04:39:04 UTC,15289,42.17,62.45,682.16
2024-03-27 04:39:05 UTC,15290,48.26,10.6,838.06
2024-03-27 04:39:06 UTC,15291,-35.44,23.18,843.23
2024-03-27 04:39:08 UTC,15292,-28.93,44.61,951.91
2024-03-27 04:39:09 UTC,15293,0.79,78.93,1756.34
2024-03-27 04:39:10 UTC,15294,-49.35,0.03,1111.65
2024-03-27 04:39:11 UTC,15295,14.75,84.88,869.92
2024-03-27 04:39:13 UTC,15296,4.63,19.94,625.26
2024-03-27 04:39:14 UTC,15297,2.91,59.84,1324.15
2024-03-27 04:39:15 UTC,15298,-10.0,87.28,1555.3
2024-03-27 04:39:16 UTC,15299,-47.03,76.45,1710.07
2024-03-27 04:39:17 UTC,15300,-14.75,46.56,792.5
2024-03-27 04:39:19 UTC,15301,5.22,4.72,1029.94
2024-03-27 04:39:20 UTC,15302,27.2,44.12,540.82
2024-03-27 04:39:21 UTC,15303,-11.55,60.54,1258.39
2024-03-27 04:39:22 UTC,15304,40.77,9.32,943.21
2024-03-27 04:39:24 UTC,15305,34.37,30.67,1881.88
2024-03-27 04:39:25 UTC,15306,-24.82,87.43,569.72
2024-03-27 04:39:26 UTC,15307,7.25,84.82,978.12
2024-03-27 04:39:27 UTC,15308,37.88,47.61,1318.87
2024-03-27 04:39:29 UTC,15309,25.93,90.12,649.96
2024-03-27 04:39:31 UTC,15310,-46.76,65.18,1315.17
2024-03-27 04:39:33 UTC,15311,7.35,92.5,1679.86
2024-03-27 04:39:34 UTC,15312,-21.59,31.39,1040.6
2024-03-27 04:39:35 UTC,15313,-17.23,94.62,1727.63
2024-03-27 04:39:36 UTC,15314,3.25,76.61,1771.8
2024-03-27 04:39:37 UTC,15315,47.65,63.88,1035.07
2024-03-27 04:39:38 UTC,15316,11.85,1.28,1869.63
2024-03-27 04:39:39 UTC,15317,46.67,30.71,882.41
2024-03-27 04:39:40 UTC,15318,-17.61,78.45,1512.42
2024-03-27 04:39:41 UTC,15319,36.46,46.73,1804.72
2024-03-27 04:39:42 UTC,15320,-26.74,34.75,417.39
2024-03-27 04:39:43 UTC,15321,-2.02,1.47,1800.39
2024-03-27 04:39:44 UTC,15322,-42.6,85.08,1295.03
2024-03-27 04:39:45 UTC,15323,-48.36,82.27,1167.29
2024-03-27 04:39:46 UTC,15324,-18.32,57.82,1089.49
2024-03-27 04:39:47 UTC,15325,-47.95,82.08,1536.06
2024-03-27 04:39:48 UTC,15326,-13.49,98.48,847.48
2024-03-27 04:39:49 UTC,15327,-6.13,21.68,1024.56
2024-03-27 04:39:51 UTC,15328,-20.72,72.39,300.03
2024-03-27 04:39:52 UTC,15329,-18.01,1.34,1508.49
2024-03-27 04:39:53 UTC,15330,-21.63,60.93,1888.1
2024-03-27 04:39:54 UTC,15331,-8.1,54.28,1852.7
2024-03-27 04:39:55 UTC,15332,-36.01,88.34,1195.56
2024-03-27 04:39:56 UTC,15333,27.73,95.04,934.82
2024-03-27 04:39:57 UTC,15334,-16.9,93.63,869.41
2024-03-27 04:39:58 UTC,15335,28.21,0.49,1841.69
